wono	ComponentName	UnitDescription	Age	LastActivity	ActualLabHour	TargetLabour	
5329593	Engine	Cat C18 591kVA	45	Waiting Part	152.5		
6037480	Final Drive	Terex Reedrill SKF-11	329	Assembly	101		
6117461	Engine	Cat 789C	471	Waiting Completion	1275.5	912	
6117465	Fan Pulley Brgs	Cat 789C	471	Assembly	19.5	16	
6223808	Brake	Cat 14M3	416	Waiting Part	20	34	
6232208	Engine	Cat D8R DWJ	157	Assembly	197	390	
6232284	Engine	Cat 14M3	160	Waiting Part	184	361	
6235573	Transmission	Cat 740	295	Waiting Testing	141.5	161	
6402274	Final Drive	Cat 18M3	85	Waiting Stand	39.5	43	
6402277	Bevel Gear	Cat 18M3	85	Waiting Part	33	79	
6430665	Final Drive	Liebherr R9350	162	Assembly	187	220	
6439521	Swing Box	Liebherr R9250	237	Waiting Part	69.5		
6451440	Brake	Cat 18M3	227	Waiting Part	20.5	34	
6459786	Bevel Gear	Cat 785C	220	Waiting Part	36	79.5	
6465056	Bevel Gear	Cat 16M	216	Waiting Part	38.5	75	
6465572	Transmission	Cat D10R	216	Waiting Stand	160	162	
6469793	Final Drive	Cat 16M	212	Assembly	33.5	42	
6469797	Final Drive	Cat 16M	212	Waiting Part	24	42	
6473037	Fan Pulley Brgs	Cat D8R	196	Assembly	10	11	
6473035	Injection Pump	Cat D8R	148	Assembly	33		
6474195	Torque Convertor	Cat 785C	209	Painted	71	68	
6478924	Engine	Cat D10R	199	Assembly	455	581.41	
6478927	Fan Pulley Brgs	Cat D10R	199	Waiting Part		14	
6478926	Engine	Cat D10R	28	Inspection	98		
6478928	Fan Pulley Brgs	Cat D10R	28	Waiting Execution		14	
6486773	Transmission	Cat 834H	198	Waiting Completion	191	180	
6493933	Engine	Cat 777D	101	Waiting Completion	637.5	639	
6493946	Fan Pulley Brgs	Cat 777D	142	Waiting Completion	12	14	
6493934	Engine	Cat 777D	129	Waiting Completion	638	639	
6493948	Fan Pulley Brgs	Cat 777D	129	Waiting Completion	14	14	
6493950	Fan Pulley Brgs	Cat 777D	23	Tear Down			
6493937	Engine	Cat 777D	108	Waiting Completion	640.5	639	
